n	p
10	0.1
20	0.1
30	0.13333333333333333
40	0.125
50	0.1
60	0.08333333333333333
70	0.1
80	0.0875
90	0.08888888888888889
100	0.08
110	0.09090909090909091
120	0.08333333333333333
130	0.1
140	0.1
150	0.10666666666666667
160	0.1125
170	0.11176470588235295
180	0.11666666666666667
190	0.11578947368421053
200	0.12
210	0.12857142857142856
220	0.1318181818181818
230	0.13478260869565217
240	0.1375
250	0.14
260	0.14615384615384616
270	0.15185185185185185
280	0.15
290	0.14482758620689656
300	0.14333333333333334
310	0.14516129032258066
320	0.14375
330	0.14242424242424243
340	0.13823529411764707
350	0.14
360	0.14166666666666666
370	0.14054054054054055
380	0.1394736842105263
390	0.13846153846153847
400	0.15
410	0.14634146341463414
420	0.15476190476190477
430	0.15348837209302327
440	0.15454545454545454
450	0.15333333333333332
460	0.15869565217391304
470	0.1574468085106383
480	0.15833333333333333
490	0.15714285714285714
500	0.158
510	0.1607843137254902
520	0.1596153846153846
530	0.15849056603773584
540	0.15925925925925927
550	0.16
560	0.15892857142857142
570	0.15789473684210525
580	0.15862068965517243
590	0.15593220338983052
600	0.155
610	0.1540983606557377
620	0.1532258064516129
630	0.1523809523809524
640	0.1515625
650	0.1523076923076923
660	0.15
670	0.15223880597014924
680	0.1514705882352941
690	0.1492753623188406
700	0.15
710	0.14788732394366197
720	0.15
730	0.14931506849315068
740	0.1472972972972973
750	0.152
760	0.15394736842105264
770	0.15324675324675324
780	0.15128205128205127
790	0.1518987341772152
800	0.15
810	0.14938271604938272
820	0.14878048780487804
830	0.14698795180722893
840	0.14761904761904762
850	0.14588235294117646
860	0.14534883720930233
870	0.14597701149425288
880	0.14545454545454545
890	0.14606741573033707
900	0.14555555555555555
910	0.14395604395604394
920	0.14347826086956522
930	0.14516129032258066
940	0.14574468085106382
950	0.14526315789473684
960	0.14479166666666668
970	0.14329896907216494
980	0.14183673469387756
990	0.1414141414141414
1000	0.144
